,ID IPEDS Race,IPEDS Race,ID Year,Year,Enrollment,University,ID University,Slug University,Location
157,multiracial,Two or More Races,2015,2015,144,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
158,native,American Indian or Alaska Native,2015,2015,8,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
159,nonresident,Non-resident Alien,2015,2015,184,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
160,unknown,Unknown,2015,2015,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
161,white,White,2015,2015,5281,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
180,asian,Asian,2014,2014,39,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
181,black,Black or African American,2014,2014,1066,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
182,hawaiian,Native Hawaiian or Other Pacific Islanders,2014,2014,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
183,hispanic,Hispanic or Latino,2014,2014,150,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
184,multiracial,Two or More Races,2014,2014,146,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
185,native,American Indian or Alaska Native,2014,2014,10,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
186,nonresident,Non-resident Alien,2014,2014,182,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
187,unknown,Unknown,2014,2014,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
188,white,White,2014,2014,5449,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
207,asian,Asian,2013,2013,29,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
208,black,Black or African American,2013,2013,1174,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
209,hawaiian,Native Hawaiian or Other Pacific Islanders,2013,2013,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
210,hispanic,Hispanic or Latino,2013,2013,153,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
211,multiracial,Two or More Races,2013,2013,129,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
212,native,American Indian or Alaska Native,2013,2013,17,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
213,nonresident,Non-resident Alien,2013,2013,187,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
214,unknown,Unknown,2013,2013,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
215,white,White,2013,2013,5734,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
234,asian,Asian,2012,2012,39,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
235,black,Black or African American,2012,2012,1252,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
236,hawaiian,Native Hawaiian or Other Pacific Islanders,2012,2012,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
237,hispanic,Hispanic or Latino,2012,2012,124,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
238,multiracial,Two or More Races,2012,2012,108,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
239,native,American Indian or Alaska Native,2012,2012,22,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
240,nonresident,Non-resident Alien,2012,2012,175,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
241,unknown,Unknown,2012,2012,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
